"captured_at_local","solution_unique_name","solution_id","solutioncomponentid","componenttype","objectid","rootcomponentbehavior","classification","source"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","5287b044-e619-f111-8341-6045bd03c2bc","10353","5187b044-e619-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","d92ec35f-f219-f111-8341-6045bd03c2bc","10353","d62ec35f-f219-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","e12ec35f-f219-f111-8341-6045bd03c2bc","10353","df2ec35f-f219-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","1f957940-371a-f111-8341-6045bd03c2bc","10353","ea947940-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","55957940-371a-f111-8341-6045bd03c2bc","10353","4e957940-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","0b997940-371a-f111-8341-6045bd03c2bc","10353","06997940-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","9a187246-371a-f111-8341-6045bd03c2bc","10353","2a997940-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","9d187246-371a-f111-8341-6045bd03c2bc","10353","30997940-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","c1187246-371a-f111-8341-6045bd03c2bc","10353","bd187246-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","f0187246-371a-f111-8341-6045bd03c2bc","10353","ea187246-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","6a197246-371a-f111-8341-6045bd03c2bc","10351","5f197246-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","96197246-371a-f111-8341-6045bd03c2bc","10351","7d197246-371a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","002c901a-581a-f111-8341-6045bd03c2bc","10352","ec2b901a-581a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","6142ac20-581a-f111-8341-6045bd03c2bc","10353","5542ac20-581a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","7f42ac20-581a-f111-8341-6045bd03c2bc","10353","7b42ac20-581a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","e042ac20-581a-f111-8341-6045bd03c2bc","10353","db42ac20-581a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","e448ba26-581a-f111-8341-6045bd03c2bc","10351","df48ba26-581a-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","889cf9cb-61e4-f011-8406-00224802e86d","9","809cf9cb-61e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","2730d80e-62e4-f011-8406-00224802e86d","9","1e30d80e-62e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","b58ed52c-62e4-f011-8406-00224802e86d","9","aa8ed52c-62e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","31581e51-62e4-f011-8406-00224802e86d","9","29581e51-62e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","3691159a-62e4-f011-8406-00224802e86d","9","1e91159a-62e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","6150f2e2-62e4-f011-8406-00224802e86d","9","4b50f2e2-62e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","b28d2c1a-63e4-f011-8406-00224802e86d","9","a28d2c1a-63e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","a7415193-63e4-f011-8406-00224802e86d","9","9e415193-63e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","20d7d8b2-73e4-f011-8406-00224802e86d","20","12d7d8b2-73e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","b20bb1a0-61e4-f011-8406-00224806fa24","9","ad0bb1a0-61e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","1413d8f3-61e4-f011-8406-00224806fa24","9","1013d8f3-61e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","b07cf282-62e4-f011-8406-00224806fa24","9","a27cf282-62e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","f4b1deb2-62e4-f011-8406-00224806fa24","9","f1b1deb2-62e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","1568fe2b-63e4-f011-8406-00224806fa24","9","1268fe2b-63e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","8cfbd759-63e4-f011-8406-00224806fa24","9","89fbd759-63e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","25241b79-63e4-f011-8406-00224806fa24","9","20241b79-63e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","4f3689b9-63e4-f011-8406-00224806fa24","9","4b3689b9-63e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","MDE","f594c7be-5fe4-f011-8406-00224802e86d","42cd57cc-63e4-f011-8406-00224806fa24","9","3ecd57cc-63e4-f011-8406-00224806fa24","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","5ec3f27d-5467-f111-ab0d-00224805f8f9","9","4ec3f27d-5467-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","06457590-5467-f111-ab0d-00224805f8f9","9","f2447590-5467-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","1a457590-5467-f111-ab0d-00224805f8f9","9","08457590-5467-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","ef5aa996-5467-f111-ab0d-00224805f8f9","9","1c457590-5467-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","27b5961a-5667-f111-ab0d-00224805f8f9","1","04edceee-5567-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","6778fd50-5667-f111-ab0d-00224805f8f9","1","b529df44-5667-f111-ab0d-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","d757b484-5467-f111-ab0d-00224805f9dd","9","bf57b484-5467-f111-ab0d-00224805f9dd","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","0795c743-5667-f111-ab0d-00224805f9dd","1","a92b8d31-5667-f111-ab0d-00224805f9dd","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","c25fe77c-5467-f111-ab0d-00224805fc91","9","8c9f9975-5467-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","0e1fef84-5467-f111-ab0d-00224805fc91","9","fb1eef84-5467-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","3fee178b-5467-f111-ab0d-00224805fc91","9","29ee178b-5467-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","54ee178b-5467-f111-ab0d-00224805fc91","9","42ee178b-5467-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","f9693131-5667-f111-ab0d-00224805fc91","1","f5a5bd1e-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","43e31160-5667-f111-ab0d-00224805fc91","1","03387253-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","7b43816c-5667-f111-ab0d-00224805fc91","1","b77f8166-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","63725e7f-5667-f111-ab0d-00224805fc91","1","bba47e72-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","49e5948b-5667-f111-ab0d-00224805fc91","1","6d725e7f-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","4909a998-5667-f111-ab0d-00224805fc91","1","55e5948b-5667-f111-ab0d-00224805fc91","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:03-03:00","sdu_runtime_control_plane","6f6acd76-5467-f111-ab0d-00224805f8f9","252fbea9-5667-f111-ab0d-00224805fcc4","1","441a9b9d-5667-f111-ab0d-00224805fcc4","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","932a26a5-325f-f111-a826-00224805f2e4","1","e5f50999-325f-f111-a826-00224805f2e4","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","612e06d4-335f-f111-a826-00224805f2e4","1","e96e0dce-335f-f111-a826-00224805f2e4","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","03772781-515f-f111-a826-00224805f2e4","29","ee762781-515f-f111-a826-00224805f2e4","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","b5778ade-2e5f-f111-a826-00224805f8f9","1","0e0690d2-2e5f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","93649328-305f-f111-a826-00224805f8f9","1","ab2f4022-305f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","558ef295-305f-f111-a826-00224805f8f9","1","434c3d8f-305f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","3daa795d-315f-f111-a826-00224805f8f9","1","dea2c956-315f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","8221dd8b-315f-f111-a826-00224805f8f9","1","edd6e685-315f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","1cede7b3-315f-f111-a826-00224805f8f9","1","e03a85ac-315f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","fe68e61d-345f-f111-a826-00224805f8f9","1","75bbed17-345f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","b876b5e7-3f5f-f111-a826-00224805f8f9","10122","b776b5e7-3f5f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","2377b5e7-3f5f-f111-a826-00224805f8f9","10122","2277b5e7-3f5f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","320d36ee-3f5f-f111-a826-00224805f8f9","10122","310d36ee-3f5f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","28ac0439-405f-f111-a826-00224805f8f9","10123","27ac0439-405f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","2bac0439-405f-f111-a826-00224805f8f9","10123","2aac0439-405f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","2eac0439-405f-f111-a826-00224805f8f9","10123","2dac0439-405f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:04-03:00","SDUCapabilityControlPlane","f427dbab-2e5f-f111-a826-00224805f8f9","3dfcfc44-405f-f111-a826-00224805f8f9","10123","2ffcfc44-405f-f111-a826-00224805f8f9","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
