"Extension","File","Pattern"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\registryValues.worker.js","pip"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\shellExec.worker.js","spawn"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\shellExec.worker.js","exec"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\shellExec.worker.js","shell"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\shellExec.worker.js","child_process"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\shellExec.worker.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.629.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.async.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.async.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.async.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.async.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.async.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.extension.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.extension.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.extension.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\browser.extension.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-background.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-background.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-background.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-background.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-background.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","pip"
