"old_path","new_path","bucket","filename","bytes","action"
"operativa/archive/legacy-root/20260616/20260616-limpieza-repos-findings.md","operativa/archive/legacy-root/20260616/20260616-limpieza-repos-findings.md","20260616","20260616-limpieza-repos-findings.md","2411","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260616/20260616-limpieza-repos-progress.md","operativa/archive/legacy-root/20260616/20260616-limpieza-repos-progress.md","20260616","20260616-limpieza-repos-progress.md","1973","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260616/20260616-limpieza-repos-task-plan.md","operativa/archive/legacy-root/20260616/20260616-limpieza-repos-task-plan.md","20260616","20260616-limpieza-repos-task-plan.md","7651","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260617/AB_CANON_CONTEXT_PR_MATRIX_20260617.csv","operativa/archive/legacy-root/20260617/AB_CANON_CONTEXT_PR_MATRIX_20260617.csv","20260617","AB_CANON_CONTEXT_PR_MATRIX_20260617.csv","1227","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/ACTA_AJUSTES_POST_AUDITORIA_20260622.md","operativa/archive/legacy-root/20260622/ACTA_AJUSTES_POST_AUDITORIA_20260622.md","20260622","ACTA_AJUSTES_POST_AUDITORIA_20260622.md","1900","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260615/ACTA_ARCHIVO_RAMAS_HISTORICAS_20260615.md","operativa/archive/legacy-root/20260615/ACTA_ARCHIVO_RAMAS_HISTORICAS_20260615.md","20260615","ACTA_ARCHIVO_RAMAS_HISTORICAS_20260615.md","1687","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260615/ACTA_AUDITAR_CLASIFICACION_20260615.md","operativa/archive/legacy-root/20260615/ACTA_AUDITAR_CLASIFICACION_20260615.md","20260615","ACTA_AUDITAR_CLASIFICACION_20260615.md","1875","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/ACTA_AUDITORIA_INTEGRAL_CORTE_20260622.md","operativa/archive/legacy-root/20260622/ACTA_AUDITORIA_INTEGRAL_CORTE_20260622.md","20260622","ACTA_AUDITORIA_INTEGRAL_CORTE_20260622.md","2445","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260615/ACTA_CIERRE_CADENA_GITHUB_AUDITAR_20260615.md","operativa/archive/legacy-root/20260615/ACTA_CIERRE_CADENA_GITHUB_AUDITAR_20260615.md","20260615","ACTA_CIERRE_CADENA_GITHUB_AUDITAR_20260615.md","3778","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260615/ACTA_CIERRE_REPOS_GIT_MAIN_ONLY_20260615.md","operativa/archive/legacy-root/20260615/ACTA_CIERRE_REPOS_GIT_MAIN_ONLY_20260615.md","20260615","ACTA_CIERRE_REPOS_GIT_MAIN_ONLY_20260615.md","2333","ARCHIVED_LEGACY_ROOT"
